coin_pair,1m,3m,5m,15m,30m,1h
SPELLUSD,-2.8790786948176583,-4.41458733205374,-5.03305608871827,-6.014075495841328,-8.16805288974194,-11.367029217317116
BICOUSD,-2.8790786948176583,-4.41458733205374,-5.03305608871827,-6.014075495841328,-8.16805288974194,-11.367029217317116
ALCXUSD,-2.8790786948176583,-4.41458733205374,-5.03305608871827,-6.014075495841328,-8.16805288974194,-11.367029217317116
